Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_20,bb_upper,bb_middle,bb_lower,bb_percent_b,bb_z_score,bb_width,rsi,macd_line,macd_signal,macd_histogram,stoch_k,stoch_d,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,fib_0,fib_236,fib_382,fib_500,fib_618,fib_786,fib_100,adx,pdi,mdi,psar,psar_is_reversal,donchian_upper,donchian_lower,donchian_center,donchian_width,roc,elliott_wave_oscillator,doji,hammer,shooting_star,engulfing_bullish,engulfing_bearish
2019-01-02 00:00:00-05:00,101.55859352771239,103.33814817382319,100.1977537781184,102.26280212402344,1802100,0.0,0.0,,,,,,,,,,,,,,,,,,109.89492797851562,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,,,,,,,,,False,False,False,False,False
2019-01-03 00:00:00-05:00,101.20648520566418,101.8250500458746,96.65766637462565,96.81944274902344,3344300,0.0,0.0,,,,,,,,,,,,,,,,,,110.05670166015625,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,,,,,,,,,False,False,False,False,False
2019-01-04 00:00:00-05:00,98.15173276159676,102.70055150856868,98.15173276159676,102.59587097167969,3045300,0.0,0.0,,,,,,,,,,,,,,,,,,109.19070434570312,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,103.3381481738232,False,,,,,,,False,False,False,False,False
2019-01-07 00:00:00-05:00,102.21522135643983,103.6141201107945,100.82582647373145,102.78620147705078,1529000,0.0,0.0,,,,,,,,,,,,,,,,,,113.11144256591797,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,96.65766637462563,True,,,,,,,False,False,False,False,False
2019-01-08 00:00:00-05:00,103.59508719107156,104.74656578701364,102.60538495959274,104.4515609741211,1631100,0.0,0.0,,,,,,,,,,,,,,,,,,112.88306427001953,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,96.796795449349,False,,,,,,,False,False,False,False,False
2019-01-09 00:00:00-05:00,104.61332987635667,105.18430993752551,103.3381340546877,103.91863250732422,2750100,0.0,0.0,,,,,,,,,,,,,,,,,,115.19554901123047,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,97.11478626285559,False,,,,,,,False,False,False,False,False
2019-01-10 00:00:00-05:00,103.08121318606821,105.79337438546382,102.77668995070461,104.72754669189453,1682900,0.0,0.0,,,,,,,,,,,,,,,,,,116.12812805175781,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,97.59895768333578,False,,,,,,,False,False,False,True,False
2019-01-11 00:00:00-05:00,103.98526675295516,104.15656153033542,102.13909777497534,104.12801361083984,1819700,0.0,0.0,,,,,,,,,,,,,,,,,,120.82920837402344,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,98.25451101950603,False,,,,,,,True,True,False,False,False
2019-01-14 00:00:00-05:00,103.37621625526451,103.82348633774733,102.61491181011645,102.90039825439453,1411400,0.0,0.0,,,,,,,,,,,,,,101.225520380044735,,,,121.20987701416016,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,98.85762008878265,False,,,,,,,False,False,False,False,False
2019-01-15 00:00:00-05:00,103.04314742809835,104.90835316227933,102.33893880386016,104.85125732421875,1788100,0.0,0.0,,,,,,,,,,,,,,101.225520380044735,,,,122.6087875366211,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,99.41248043251714,False,,,,,,,False,False,False,False,False
2019-01-16 00:00:00-05:00,104.55624284207506,105.98369674525603,103.81396071367992,103.9947738647461,2817100,0.0,0.0,,,,,,,,,,,,,,102.067714753426395,,,,122.26618957519531,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,99.92295194875288,False,,,,,,,False,False,True,False,False
2019-01-17 00:00:00-05:00,103.5380101600708,104.57529001982661,102.9479931667409,103.22396850585938,2143900,0.0,0.0,,,,,,,,,,,,,,103.40476160949374,,,,122.35183715820312,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,100.5290264284032,False,,,,,,,False,False,False,False,False
2019-01-18 00:00:00-05:00,104.4896287469114,104.4896287469114,103.0241085332416,103.7759017944336,2361200,0.0,0.0,,,,,,,,,,,,,,104.061397260115685,,,,120.79115295410156,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,101.07449346008849,False,,,,,1.4796188242280728,,False,False,False,False,False
2019-01-22 00:00:00-05:00,103.45234854192589,103.58557700090428,100.89244538222897,102.07247924804688,2799300,0.0,0.0,,,,,,,,,,,,,,103.43807106374250,,,,119.59776306152344,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,,,105.98369674525604,True,,,,,5.425600839947431,,False,False,False,False,False
2019-01-23 00:00:00-05:00,102.25328114126181,103.12879174359854,101.42536250156051,102.8623275756836,1660300,0.0,0.0,,,,,,,,51.31084955248519,,,,,,103.43807106374250,,,,118.81488037109375,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,16.213491055293353,18.982812988536836,105.8818717179955,False,,,,,0.25971474434626374,,False,False,False,False,False
2019-01-24 00:00:00-05:00,102.83380163548235,103.68075724124368,102.20572554218424,103.00509643554688,769200,0.0,0.0,,,,,,,,51.636023242495625,,,,62.186840058821,,103.43807106374250,,,,118.32797241210938,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,17.068772449414606,18.217236788409668,105.78208319128017,False,,,,,0.21296142415085426,,False,False,False,False,False
2019-01-25 00:00:00-05:00,103.8996066247654,104.61333354133218,102.59586284342403,104.53720092773438,1587700,0.0,0.0,,,,,,,,55.101437938917044,,,,66.81826587476066,,103.43807106374250,,,,119.5500259399414,306.0447682574368,282.1680177825461,267.39680774299507,255.45843250554975,243.5200572681044,226.52304845547036,204.87209675366273,,18.7036616933436,17.19573492808224,105.68429043509914,False,,,,,0.08199011370878354,,False,True,False,False,False
