Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_20,bb_upper,bb_middle,bb_lower,bb_percent_b,bb_z_score,bb_width,rsi,macd_line,macd_signal,macd_histogram,stoch_k,stoch_d,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,fib_0,fib_236,fib_382,fib_500,fib_618,fib_786,fib_100,adx,pdi,mdi,psar,psar_is_reversal,donchian_upper,donchian_lower,donchian_center,donchian_width,roc,elliott_wave_oscillator,doji,hammer,shooting_star,engulfing_bullish,engulfing_bearish
2019-01-02 00:00:00-05:00,125.38999938964844,129.63999938964844,124.6500015258789,128.9600067138672,1517500,0.0,0.0,,,,,,,,,,,,,,,,,,154.30999755859375,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,,,,,,,,,False,False,False,False,False
2019-01-03 00:00:00-05:00,126.48999786376953,127.5,121.12000274658203,121.8499984741211,2564700,0.0,0.0,,,,,,,,,,,,,,,,,,154.57000732421875,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,,,,,,,,,False,False,False,False,False
2019-01-04 00:00:00-05:00,124.37000274658203,129.3699951171875,121.80999755859375,128.27999877929688,2480600,0.0,0.0,,,,,,,,,,,,,,,,,,159.5399932861328,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,129.63999938964844,False,,,,,,,False,False,False,False,False
2019-01-07 00:00:00-05:00,128.27000427246094,133.39999389648438,128.14999389648438,132.72000122070312,1634600,0.0,0.0,,,,,,,,,,,,,,,,,,160.02999877929688,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,121.12000274658205,True,,,,,,,False,False,False,False,False
2019-01-08 00:00:00-05:00,134.25999450683594,135.6999969482422,132.25,133.8699951171875,1324800,0.0,0.0,,,,,,,,,,,,,,,,,,159.94000244140625,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,121.36560256958009,False,,,,,,,False,False,False,False,False
2019-01-09 00:00:00-05:00,134.72000122070312,137.77999877929688,133.41000366210938,136.77000427246094,1770500,0.0,0.0,,,,,,,,,,,,,,,,,,160.35000610351562,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,121.93897834472658,False,,,,,,,False,False,False,False,False
2019-01-10 00:00:00-05:00,135.2100067138672,137.52999877929688,134.85000610351562,136.7100067138672,1517600,0.0,0.0,,,,,,,,,,,,,,,,,,160.67999267578125,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,122.88943957080079,False,,,,,,,False,False,False,False,False
2019-01-11 00:00:00-05:00,135.77999877929688,137.5,135.25,136.74000549316406,903200,0.0,0.0,,,,,,,,,,,,,,,,,,159.8000030517578,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,123.78287312331055,False,,,,,,,False,False,False,False,False
2019-01-14 00:00:00-05:00,135.3699951171875,136.17999267578125,134.1199951171875,134.75,906300,0.0,0.0,,,,,,,,,,,,,,129.450000762939455,,,,159.8300018310547,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,124.62270066266973,False,,,,,,,False,False,False,False,False
2019-01-15 00:00:00-05:00,131.8800048828125,137.4499969482422,131.8800048828125,135.8800048828125,1574000,0.0,0.0,,,,,,,,,,,,,,129.450000762939455,,,,161.50999450683594,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,125.41213854966736,False,,,,,,,False,False,False,True,False
2019-01-16 00:00:00-05:00,136.17999267578125,137.5,134.8000030517578,135.3000030517578,1425800,0.0,0.0,,,,,,,,,,,,,,129.794998168945315,,,,163.94000244140625,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,126.15421016344513,False,,,,,,,False,False,False,False,False
2019-01-17 00:00:00-05:00,134.6300048828125,137.89999389648438,134.25999450683594,136.5,2127900,0.0,0.0,,,,,,,,,,,,,,133.02499389648438,,,,163.30999755859375,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,126.85175748039623,False,,,,,,,False,False,False,True,False
2019-01-18 00:00:00-05:00,138.2899932861328,141.83999633789062,135.4600067138672,141.72999572753906,2684500,0.0,0.0,,,,,,,,,,,,,,136.86000061035156,,,,164.27999877929688,312.510009765625,293.6677670288086,282.01112533569335,272.59000396728516,263.16888259887696,249.75576065063476,232.6699981689453,,,,127.73561639368329,False,,,,,9.902286250655651,,False,False,False,False,False
