Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_20,bb_upper,bb_middle,bb_lower,bb_percent_b,bb_z_score,bb_width,rsi,macd_line,macd_signal,macd_histogram,stoch_k,stoch_d,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,fib_0,fib_236,fib_382,fib_500,fib_618,fib_786,fib_100,adx,pdi,mdi,psar,psar_is_reversal,donchian_upper,donchian_lower,donchian_center,donchian_width,roc,elliott_wave_oscillator,doji,hammer,shooting_star,engulfing_bullish,engulfing_bearish
2019-01-02 00:00:00-05:00,59.22813297845886,59.22813297845886,57.52932360455392,57.902427673339844,2679600,0.0,0.0,,,,,,,,,,,,,,,,,,64.06466674804688,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,,,,,,,,,False,False,False,False,False
2019-01-03 00:00:00-05:00,57.902431926033984,58.473995132409165,57.39437708847635,57.76747512817383,3063500,0.0,0.0,,,,,,,,,,,,,,,,,,64.12071990966797,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,,,,,,,,,False,False,False,False,False
2019-01-04 00:00:00-05:00,57.41024046596093,58.29933929443359,57.3626122264591,58.299339294433594,2857500,0.0,0.0,,,,,,,,,,,,,,,,,,64.2888412475586,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,59.22813297845886,False,,,,,,,False,False,False,True,False
2019-01-07 00:00:00-05:00,57.90242314731355,58.116756288963,57.50550498711862,57.9738655090332,3218400,0.0,0.0,,,,,,,,,,,,,,,,,,63.68840026855469,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,59.153512148378866,False,,,,,,,False,False,False,False,False
2019-01-08 00:00:00-05:00,57.886536245073216,58.783575058136336,57.70395730441614,58.68831253051758,3605700,0.0,0.0,,,,,,,,,,,,,,,,,,63.52826690673828,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,59.08187615150207,False,,,,,,,False,False,False,False,False
2019-01-09 00:00:00-05:00,58.53749381748102,58.94235207299179,58.01356494842976,58.243778228759766,3100400,0.0,0.0,,,,,,,,,,,,,,,,,,63.46422576904297,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,59.01310559450035,False,,,,,,,False,False,False,False,False
2019-01-10 00:00:00-05:00,58.378721693318546,59.3789571179615,58.180262620138855,59.31544876098633,2285100,0.0,0.0,,,,,,,,,,,,,,,,,,64.11272430419922,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.3626122264591,True,,,,,,,False,False,False,False,False
2019-01-11 00:00:00-05:00,59.347212838586856,59.347212838586856,58.60100466088681,59.09318542480469,2244000,0.0,0.0,,,,,,,,,,,,,,,,,,64.4649887084961,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.40293912428915,False,,,,,,,False,False,False,False,False
2019-01-14 00:00:00-05:00,58.767701790726164,58.767701790726164,57.91035711171194,58.57718276977539,2764600,0.0,0.0,,,,,,,,,,,,,,58.3707846722103,,,,64.96934509277344,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.4424594841626,False,,,,,,,False,False,False,False,False
2019-01-15 00:00:00-05:00,58.59304813263542,59.90287907725775,58.521605781569086,59.83937072753906,2279500,0.0,0.0,,,,,,,,,,,,,,58.632745651858425,,,,65.42571258544922,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.48118943683858,False,,,,,,,False,False,False,False,False
2019-01-16 00:00:00-05:00,59.52978408213303,60.14104144161704,59.188434221464036,60.10928726196289,2727800,0.0,0.0,,,,,,,,,,,,,,58.75182683403807,,,,64.67313385009766,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.57805702245534,False,,,,,,,False,False,False,False,False
2019-01-17 00:00:00-05:00,60.133095352273244,60.4982592969406,60.037832822863976,60.3315544128418,1779100,0.0,0.0,,,,,,,,,,,,,,59.00188214202961,,,,64.3849105834961,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.73183608760504,False,,,,,,,False,False,False,False,False
2019-01-18 00:00:00-05:00,60.63322461453115,60.72848716689454,60.061667469824876,60.403011322021484,2437900,0.0,0.0,,,,,,,,,,,,,,59.21622223565534,,,,64.55303192138672,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,57.953149944351885,False,,,,,4.318616246608611,,False,False,False,False,False
2019-01-22 00:00:00-05:00,60.51415006050846,61.069833105273446,59.95052089961561,60.63322067260742,2275300,0.0,0.0,,,,,,,,,,,,,,59.490095108492693,,,,64.96934509277344,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,,,58.230683666606154,False,,,,,4.960828802150535,,False,False,False,False,False
2019-01-23 00:00:00-05:00,60.53001405310459,61.19683359588591,60.48238581618876,61.133331298828125,2337800,0.0,0.0,,,,,,,,74.78691660335534,,,,,,59.553595353798925,,,,65.16952514648438,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,27.877625050488714,6.474932789026209,58.57138159924623,False,,,,,4.861104840454204,,False,False,False,False,False
2019-01-24 00:00:00-05:00,61.20478455334081,61.73665348191407,60.75229805259339,61.72077941894531,2047300,0.0,0.0,,,,,,,,77.01778795615026,,,,95.4011784300929,,59.823505296813005,,,,65.18551635742188,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,29.876192986059305,5.994981602691419,58.938944878775786,False,,,,,6.463108638716326,,False,False,False,False,False
2019-01-25 00:00:00-05:00,61.41911162489061,61.998608684264774,60.79198027304788,60.96662521362305,2682000,0.0,0.0,,,,,,,,68.62327800844145,,,,91.67090725445367,,59.954482897988357,,,,64.87329864501953,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,29.148311050907886,5.4606482355535535,59.38657825527791,False,,,,,3.8820551910071694,,False,False,False,False,False
2019-01-28 00:00:00-05:00,60.93486334962548,61.29208718737657,60.569699454716414,61.00630569458008,2159200,0.0,0.0,,,,,,,,68.81587051520233,,,,84.52112194712406,90.53106921055688,60.260107232916930,,,,65.05741882324219,109.50323526222823,106.66103152427792,104.9027190423256,103.48161717335044,102.06051530437529,100.03725162651234,97.45999908447266,,27.56431828023291,6.836038167235536,59.856743732495545,False,,,,,4.743043033661275,,True,False,False,False,False
